file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\futures\FutureMachine.java,ai.verta.modeldb.common.futures.FutureMachine,process/1[S],false,24,5,1,0,1,1,3,4,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\futures\FutureMachine.java,ai.verta.modeldb.common.futures.FutureMachine,"FutureMachine/1[java.util.List<ai.verta.modeldb.common.futures.FutureMachine.Step<T,S>>]",true,20,3,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\futures\FutureMachine.java,ai.verta.modeldb.common.futures.FutureMachine,"process/3[S,ai.verta.modeldb.common.futures.FutureMachine.Step<T,S>,java.util.Iterator<ai.verta.modeldb.common.futures.FutureMachine.Step<T,S>>]",false,29,6,4,0,4,3,7,13,4,2,3,7,0,0,0,0,0,0,0,0,1,0,2,0,0,1,8,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\artifactStore\storageservice\s3\S3SignatureUtil.java,ai.verta.modeldb.common.artifactStore.storageservice.s3.S3SignatureUtil,"getSignature/2[java.lang.String,java.time.LocalDateTime]",false,27,1,1,0,1,2,5,9,1,1,2,5,1,1,0,0,1,0,2,0,1,0,1,0,0,0,15,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\artifactStore\storageservice\s3\S3SignatureUtil.java,ai.verta.modeldb.common.artifactStore.storageservice.s3.S3SignatureUtil,"hmacSha256/2[byte[],java.lang.String]",false,37,1,1,1,0,1,5,5,1,1,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\artifactStore\storageservice\s3\S3SignatureUtil.java,ai.verta.modeldb.common.artifactStore.storageservice.s3.S3SignatureUtil,"readPolicy/3[java.lang.String,int,ai.verta.modeldb.common.artifactStore.storageservice.s3.AWSCredentials]",false,43,2,0,0,0,2,6,8,1,1,3,6,0,0,0,0,0,0,6,0,1,0,1,0,0,0,26,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\artifactStore\storageservice\s3\S3SignatureUtil.java,ai.verta.modeldb.common.artifactStore.storageservice.s3.S3SignatureUtil,"S3SignatureUtil/3[ai.verta.modeldb.common.artifactStore.storageservice.s3.AWSCredentials,java.lang.String,java.lang.String]",true,21,1,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\futures\FutureRest.java,ai.verta.modeldb.common.futures.FutureRest,serverResponse/1[ai.verta.modeldb.common.futures.Future<T>],false,7,3,2,0,2,3,3,18,1,3,1,3,0,0,0,1,1,0,0,0,1,0,3,0,0,1,9,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\App.java,ai.verta.modeldb.App,main/1[java.lang.String[]],false,32,4,1,0,1,2,4,11,0,2,1,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,7,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\App.java,ai.verta.modeldb.App,getInstance/0,false,25,1,10,9,1,2,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\BlobFunction.java,ai.verta.modeldb.versioning.BlobFunction,apply/1[ai.verta.modeldb.versioning.Session],false,8,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\exceptions\InternalErrorException.java,ai.verta.modeldb.common.exceptions.InternalErrorException,InternalErrorException/1[java.lang.String],true,6,0,16,16,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\exceptions\InternalErrorException.java,ai.verta.modeldb.common.exceptions.InternalErrorException,"InternalErrorException/2[java.lang.String,java.lang.Exception]",true,10,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\entities\QueryParameterEntity.java,ai.verta.modeldb.entities.QueryParameterEntity,getParameter_name/0,false,68,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\entities\QueryParameterEntity.java,ai.verta.modeldb.entities.QueryParameterEntity,setParameter_name/1[java.lang.String],false,72,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\entities\QueryParameterEntity.java,ai.verta.modeldb.entities.QueryParameterEntity,setValue/1[java.lang.String],false,80,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\entities\QueryParameterEntity.java,ai.verta.modeldb.entities.QueryParameterEntity,getQueryDatasetVersionInfoEntity/0,false,92,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\entities\QueryParameterEntity.java,ai.verta.modeldb.entities.QueryParameterEntity,getField_type/0,false,102,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\entities\QueryParameterEntity.java,ai.verta.modeldb.entities.QueryParameterEntity,setQueryDatasetVersionInfoEntity/1[java.lang.Object],false,96,1,1,1,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\entities\QueryParameterEntity.java,ai.verta.modeldb.entities.QueryParameterEntity,setParameter_type/1[java.lang.Integer],false,88,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\entities\QueryParameterEntity.java,ai.verta.modeldb.entities.QueryParameterEntity,"QueryParameterEntity/3[java.lang.Object,java.lang.String,ai.verta.modeldb.entities.QueryParameter]",true,24,4,6,1,5,2,8,9,0,0,3,8,4,1,0,0,0,0,0,0,1,0,1,0,0,0,15,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\entities\QueryParameterEntity.java,ai.verta.modeldb.entities.QueryParameterEntity,getId/0,false,60,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\entities\QueryParameterEntity.java,ai.verta.modeldb.entities.QueryParameterEntity,getProtoObject/0,false,106,4,5,1,4,1,9,5,1,1,0,9,3,1,0,0,0,0,0,0,2,0,0,0,0,0,11,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\entities\QueryParameterEntity.java,ai.verta.modeldb.entities.QueryParameterEntity,QueryParameterEntity/0,true,22,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\entities\QueryParameterEntity.java,ai.verta.modeldb.entities.QueryParameterEntity,setId/1[java.lang.Long],false,64,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\entities\QueryParameterEntity.java,ai.verta.modeldb.entities.QueryParameterEntity,getValue/0,false,76,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\entities\QueryParameterEntity.java,ai.verta.modeldb.entities.QueryParameterEntity,getParameter_type/0,false,84,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\db\migration\MigrationException.java,ai.verta.modeldb.common.db.migration.MigrationException,"MigrationException/2[java.lang.String,java.lang.Throwable]",true,8,0,2,2,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\db\migration\MigrationException.java,ai.verta.modeldb.common.db.migration.MigrationException,MigrationException/1[java.lang.String],true,4,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\reconcilers\ReconcilerConfig.java,ai.verta.modeldb.common.reconcilers.ReconcilerConfig,isTestReconciler/0,false,55,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\reconcilers\ReconcilerConfig.java,ai.verta.modeldb.common.reconcilers.ReconcilerConfig,getWorkerCount/0,false,47,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\reconcilers\ReconcilerConfig.java,ai.verta.modeldb.common.reconcilers.ReconcilerConfig,getMaxSync/0,false,51,0,7,7,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\reconcilers\ReconcilerConfig.java,ai.verta.modeldb.common.reconcilers.ReconcilerConfig,getBatchSize/0,false,39,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\reconcilers\ReconcilerConfig.java,ai.verta.modeldb.common.reconcilers.ReconcilerConfig,ReconcilerConfig/1[boolean],true,27,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\reconcilers\ReconcilerConfig.java,ai.verta.modeldb.common.reconcilers.ReconcilerConfig,setBatchSize/1[int],false,43,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\reconcilers\ReconcilerConfig.java,ai.verta.modeldb.common.reconcilers.ReconcilerConfig,builder/0,false,31,1,2,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\reconcilers\ReconcilerConfig.java,ai.verta.modeldb.common.reconcilers.ReconcilerConfig,setResyncPeriodSeconds/1[long],false,59,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\reconcilers\ReconcilerConfig.java,ai.verta.modeldb.common.reconcilers.ReconcilerConfig,"ReconcilerConfig/5[long,int,int,int,boolean]",true,15,0,1,1,0,1,0,7,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,13,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\reconcilers\ReconcilerConfig.java,ai.verta.modeldb.common.reconcilers.ReconcilerConfig,getResyncPeriodSeconds/0,false,35,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\test\java\ai\verta\modeldb\versioning\blob\visitors\ValidatorBlobTest.java,ai.verta.modeldb.versioning.blob.visitors.ValidatorBlobTest,ValidatorBlobTest/1[ai.verta.modeldb.versioning.blob.visitors.Blob],true,219,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\test\java\ai\verta\modeldb\versioning\blob\visitors\ValidatorBlobTest.java,ai.verta.modeldb.versioning.blob.visitors.ValidatorBlobTest,testValidateBlob/0,false,224,1,0,0,0,2,7,10,0,0,0,7,0,0,0,0,1,0,1,0,0,0,1,0,0,0,13,1,1,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\test\java\ai\verta\modeldb\versioning\blob\visitors\ValidatorBlobTest.java,ai.verta.modeldb.versioning.blob.visitors.ValidatorBlobTest,data/0,false,211,1,0,0,0,2,2,7,1,1,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,4,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\blob\container\EnvironmentContainer.java,ai.verta.modeldb.versioning.blob.container.EnvironmentContainer,"process/4[ai.verta.modeldb.versioning.blob.container.Session,ai.verta.modeldb.versioning.TreeElem,ai.verta.modeldb.versioning.FileHasher,java.util.Set<java.lang.String>]",false,48,15,25,0,25,11,35,71,0,17,4,35,1,1,5,0,0,2,1,1,18,2,3,0,0,0,54,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\blob\container\EnvironmentContainer.java,ai.verta.modeldb.versioning.blob.container.EnvironmentContainer,computeSHA/1[ai.verta.modeldb.versioning.blob.container.PythonEnvironmentBlob],false,161,7,7,0,7,9,17,36,1,7,1,17,1,1,2,4,0,0,9,0,7,0,3,0,0,0,28,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\blob\container\EnvironmentContainer.java,ai.verta.modeldb.versioning.blob.container.EnvironmentContainer,computeSHA/1[ai.verta.modeldb.versioning.blob.container.EnvironmentBlob],false,141,4,5,1,4,4,8,15,1,2,1,8,0,0,2,1,0,0,5,0,2,0,2,0,0,0,21,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\blob\container\EnvironmentContainer.java,ai.verta.modeldb.versioning.blob.container.EnvironmentContainer,"appendVersion/2[java.lang.StringBuilder,ai.verta.modeldb.versioning.blob.container.VersionEnvironmentBlob]",false,214,1,1,1,0,1,6,3,0,0,2,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\blob\container\EnvironmentContainer.java,ai.verta.modeldb.versioning.blob.container.EnvironmentContainer,computeSHA/1[ai.verta.modeldb.versioning.blob.container.DockerEnvironmentBlob],false,203,2,1,0,1,1,8,5,1,1,1,8,0,0,0,0,0,0,3,0,1,0,0,0,0,0,16,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\blob\container\EnvironmentContainer.java,ai.verta.modeldb.versioning.blob.container.EnvironmentContainer,EnvironmentContainer/1[ai.verta.modeldb.versioning.blob.container.BlobExpanded],true,40,1,1,1,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\blob\container\EnvironmentContainer.java,ai.verta.modeldb.versioning.blob.container.EnvironmentContainer,"processAttribute/4[ai.verta.modeldb.versioning.blob.container.Session,java.lang.Long,java.lang.String,boolean]",false,137,1,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\blob\factory\CodeBlobFactory.java,ai.verta.modeldb.versioning.blob.factory.CodeBlobFactory,getBlob/1[ai.verta.modeldb.versioning.blob.factory.Session],false,23,8,4,0,4,5,16,26,1,5,1,16,0,0,0,2,0,0,1,2,5,0,3,0,0,0,27,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\blob\factory\CodeBlobFactory.java,ai.verta.modeldb.versioning.blob.factory.CodeBlobFactory,CodeBlobFactory/1[ai.verta.modeldb.entities.versioning.InternalFolderElementEntity],true,16,1,3,1,2,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\autogenerated\_public\modeldb\versioning\model\AutogenPathDatasetComponentDiff.java,ai.verta.modeldb.versioning.autogenerated._public.modeldb.versioning.model.AutogenPathDatasetComponentDiff,preVisitShallow/1[ai.verta.modeldb.versioning.blob.visitors.Visitor],false,251,1,2,1,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\autogenerated\_public\modeldb\versioning\model\AutogenPathDatasetComponentDiff.java,ai.verta.modeldb.versioning.autogenerated._public.modeldb.versioning.model.AutogenPathDatasetComponentDiff,AutogenPathDatasetComponentDiff/0,true,24,0,5,5,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\autogenerated\_public\modeldb\versioning\model\AutogenPathDatasetComponentDiff.java,ai.verta.modeldb.versioning.autogenerated._public.modeldb.versioning.model.AutogenPathDatasetComponentDiff,setA/1[ai.verta.modeldb.versioning.autogenerated._public.modeldb.versioning.model.AutogenPathDatasetComponentBlob],false,135,3,6,5,1,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\autogenerated\_public\modeldb\versioning\model\AutogenPathDatasetComponentDiff.java,ai.verta.modeldb.versioning.autogenerated._public.modeldb.versioning.model.AutogenPathDatasetComponentDiff,toString/0,false,48,2,4,2,2,13,4,27,1,2,0,4,0,0,0,4,0,0,10,0,6,4,2,0,0,0,12,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\autogenerated\_public\modeldb\versioning\model\AutogenPathDatasetComponentDiff.java,ai.verta.modeldb.versioning.autogenerated._public.modeldb.versioning.model.AutogenPathDatasetComponentDiff,setB/1[ai.verta.modeldb.versioning.autogenerated._public.modeldb.versioning.model.AutogenPathDatasetComponentBlob],false,144,3,6,5,1,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\autogenerated\_public\modeldb\versioning\model\AutogenPathDatasetComponentDiff.java,ai.verta.modeldb.versioning.autogenerated._public.modeldb.versioning.model.AutogenPathDatasetComponentDiff,fromProto/1[ai.verta.modeldb.versioning.PathDatasetComponentDiff],false,172,4,9,2,7,2,11,23,2,9,1,11,4,1,0,1,0,0,0,0,5,0,1,0,0,4,12,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\autogenerated\_public\modeldb\versioning\model\AutogenPathDatasetComponentDiff.java,ai.verta.modeldb.versioning.autogenerated._public.modeldb.versioning.model.AutogenPathDatasetComponentDiff,getC/0,false,158,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\autogenerated\_public\modeldb\versioning\model\AutogenPathDatasetComponentDiff.java,ai.verta.modeldb.versioning.autogenerated._public.modeldb.versioning.model.AutogenPathDatasetComponentDiff,equals/1[java.lang.Object],false,90,4,10,6,4,32,4,39,16,13,1,4,0,0,0,26,0,1,0,0,5,0,3,0,0,4,14,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\autogenerated\_public\modeldb\versioning\model\AutogenPathDatasetComponentDiff.java,ai.verta.modeldb.versioning.autogenerated._public.modeldb.versioning.model.AutogenPathDatasetComponentDiff,isEmpty/0,false,31,2,2,0,2,9,2,15,5,0,0,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\autogenerated\_public\modeldb\versioning\model\AutogenPathDatasetComponentDiff.java,ai.verta.modeldb.versioning.autogenerated._public.modeldb.versioning.model.AutogenPathDatasetComponentDiff,setStatus/1[ai.verta.modeldb.versioning.autogenerated._public.modeldb.versioning.model.AutogenDiffStatusEnumDiffStatus],false,162,3,7,6,1,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\autogenerated\_public\modeldb\versioning\model\AutogenPathDatasetComponentDiff.java,ai.verta.modeldb.versioning.autogenerated._public.modeldb.versioning.model.AutogenPathDatasetComponentDiff,postVisitShallow/1[ai.verta.modeldb.versioning.blob.visitors.Visitor],false,263,2,2,1,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\autogenerated\_public\modeldb\versioning\model\AutogenPathDatasetComponentDiff.java,ai.verta.modeldb.versioning.autogenerated._public.modeldb.versioning.model.AutogenPathDatasetComponentDiff,getB/0,false,149,1,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\autogenerated\_public\modeldb\versioning\model\AutogenPathDatasetComponentDiff.java,ai.verta.modeldb.versioning.autogenerated._public.modeldb.versioning.model.AutogenPathDatasetComponentDiff,hashCode/0,false,84,1,1,0,1,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\autogenerated\_public\modeldb\versioning\model\AutogenPathDatasetComponentDiff.java,ai.verta.modeldb.versioning.autogenerated._public.modeldb.versioning.model.AutogenPathDatasetComponentDiff,toProto/0,false,205,4,7,3,4,9,10,44,5,9,0,10,0,0,0,4,0,0,0,0,5,0,3,0,0,4,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\autogenerated\_public\modeldb\versioning\model\AutogenPathDatasetComponentDiff.java,ai.verta.modeldb.versioning.autogenerated._public.modeldb.versioning.model.AutogenPathDatasetComponentDiff,preVisitDeep/1[ai.verta.modeldb.versioning.blob.visitors.Visitor],false,255,2,3,0,3,1,3,7,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\autogenerated\_public\modeldb\versioning\model\AutogenPathDatasetComponentDiff.java,ai.verta.modeldb.versioning.autogenerated._public.modeldb.versioning.model.AutogenPathDatasetComponentDiff,getStatus/0,false,167,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\autogenerated\_public\modeldb\versioning\model\AutogenPathDatasetComponentDiff.java,ai.verta.modeldb.versioning.autogenerated._public.modeldb.versioning.model.AutogenPathDatasetComponentDiff,setC/1[ai.verta.modeldb.versioning.autogenerated._public.modeldb.versioning.model.AutogenPathDatasetComponentBlob],false,153,3,5,4,1,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
