file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\common\dataobjects\Dataframe.java,com.datumbox.framework.core.common.dataobjects.Dataframe$Builder,innerclass,19,19,0,19,13,1,0,39,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,78,3,2,3,2,0,5,1,27,1,26,5,0,0,2,160,9,4
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\common\text\parsers\HTMLParser.java,com.datumbox.framework.core.common.text.parsers.HTMLParser$HyperlinkPart,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\clustering\HierarchicalAgglomerative.java,com.datumbox.framework.core.machinelearning.clustering.HierarchicalAgglomerative$ModelParameters,innerclass,3,3,0,3,1,4,0,0,0,1.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,12,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\preprocessing\BinaryScaler.java,com.datumbox.framework.core.machinelearning.preprocessing.BinaryScaler$TrainingParameters,innerclass,1,1,0,1,2,3,0,0,0,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,1,0,0,10,1,0,0,0,0,0,2,3,0,2,0,0,0,0,29,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\preprocessing\OneHotEncoder.java,com.datumbox.framework.core.machinelearning.preprocessing.OneHotEncoder$ModelParameters,innerclass,2,2,0,2,1,3,0,0,0,1.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,12,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\common\abstracts\modelers\AbstractModeler.java,com.datumbox.framework.core.machinelearning.common.abstracts.modelers.AbstractModeler,class,6,38,32,6,4,2,0,2,6,0.0,0.0,0.0,4,0,1,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,1025,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\regression\NLMS.java,com.datumbox.framework.core.machinelearning.regression.NLMS$TrainingParameters,innerclass,1,1,0,1,8,2,0,0,20,0.8,0.0,0.0,8,0,8,0,0,0,8,0,0,0,5,1,0,5,0,0,1,0,0,31,4,0,0,0,0,0,5,9,0,5,0,0,0,0,34,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\statistics\parametrics\onesample\NormalOneSample.java,com.datumbox.framework.core.statistics.parametrics.onesample.NormalOneSample,class,2,4,2,2,14,1,0,3,6,0.0,0.0,0.0,4,4,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,38,4,0,0,0,8,3,10,11,14,9,1,0,0,0,55,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\statistics\nonparametrics\independentsamples\MannWhitney.java,com.datumbox.framework.core.statistics.nonparametrics.independentsamples.MannWhitney,class,9,11,2,9,12,1,0,19,3,0.0,0.0,0.0,3,3,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,59,3,3,1,0,4,2,12,28,10,22,2,0,0,0,70,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\test\java\com\datumbox\framework\core\statistics\nonparametrics\onesample\WilcoxonOneSampleTest.java,com.datumbox.framework.core.statistics.nonparametrics.onesample.WilcoxonOneSampleTest,class,4,4,0,4,1,2,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,1,22,6,0,6,0,0,0,0,26,1,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\clustering\MultinomialDPMM.java,com.datumbox.framework.core.machinelearning.clustering.MultinomialDPMM$Cluster,innerclass,7,7,0,7,12,3,0,10,21,0.725,0.0,0.0,10,0,0,2,8,0,8,0,0,0,4,1,0,4,0,0,2,0,5,64,4,1,1,0,0,0,5,23,2,16,1,0,0,0,78,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\preprocessing\StandardScaler.java,com.datumbox.framework.core.machinelearning.preprocessing.StandardScaler,class,19,22,3,19,16,9,0,44,10,0.0,0.0,0.0,5,0,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,9,103,4,1,4,0,1,0,3,27,2,28,3,0,2,4,67,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\statistics\parametrics\onesample\DurbinWatson.java,com.datumbox.framework.core.statistics.parametrics.onesample.DurbinWatson,class,4,7,3,4,10,1,0,7,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,41,3,1,1,0,2,1,11,18,9,14,3,0,0,0,56,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\featureselection\MutualInformation.java,com.datumbox.framework.core.machinelearning.featureselection.MutualInformation$TrainingParameters,innerclass,1,1,0,1,0,3,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,9,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-common\src\main\java\com\datumbox\framework\common\dataobjects\DataTable2D.java,com.datumbox.framework.common.dataobjects.DataTable2D,class,4,23,19,4,14,4,0,11,15,1.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,1,0,1,0,0,1,0,0,44,8,3,3,0,2,0,2,5,0,4,4,0,0,0,77,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-common\src\main\java\com\datumbox\framework\common\storage\interfaces\StorageEngine.java,com.datumbox.framework.common.storage.interfaces.StorageEngine$MapType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\modelselection\splitters\ShuffleSplitter.java,com.datumbox.framework.core.machinelearning.modelselection.splitters.ShuffleSplitter$Anonymous1,anonymous,4,4,0,4,6,1,0,5,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,25,2,3,0,0,0,1,3,8,1,7,1,0,0,0,20,-1,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\common\abstracts\modelers\AbstractClassifier.java,com.datumbox.framework.core.machinelearning.common.abstracts.modelers.AbstractClassifier$AbstractModelParameters,innerclass,2,2,0,2,4,3,0,1,0,0.25,0.0,0.0,4,0,2,0,2,0,4,0,0,0,1,0,0,1,0,0,0,0,0,15,2,0,0,0,0,0,0,2,0,1,0,0,0,0,18,1033,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-common\src\main\java\com\datumbox\framework\common\storage\interfaces\StorageEngine.java,com.datumbox.framework.common.storage.interfaces.StorageEngine$StorageHint,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\common\abstracts\algorithms\AbstractNaiveBayes.java,com.datumbox.framework.core.machinelearning.common.abstracts.algorithms.AbstractNaiveBayes,class,20,25,5,20,24,8,0,52,20,0.6875,0.0,0.0,8,0,3,0,5,0,8,1,0,0,2,0,0,1,1,0,1,0,13,146,2,7,2,0,3,0,12,44,9,41,4,0,2,3,101,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\test\java\com\datumbox\framework\core\statistics\sampling\StratifiedSamplingTest.java,com.datumbox.framework.core.statistics.sampling.StratifiedSamplingTest,class,12,13,1,12,14,2,0,24,66,0.0,0.0,0.0,12,0,8,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,134,4,2,0,0,0,45,74,46,0,44,1,0,0,0,61,1,8
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\featureselection\TFIDF.java,com.datumbox.framework.core.machinelearning.featureselection.TFIDF$ModelParameters,innerclass,2,2,0,2,1,4,0,0,0,1.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,12,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\test\java\com\datumbox\framework\core\statistics\nonparametrics\onesample\WaldWolfowitzTest.java,com.datumbox.framework.core.statistics.nonparametrics.onesample.WaldWolfowitzTest,class,4,4,0,4,1,2,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,1,1,4,0,4,0,0,0,0,21,1,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\common\abstracts\featureselectors\AbstractFeatureSelector.java,com.datumbox.framework.core.machinelearning.common.abstracts.featureselectors.AbstractFeatureSelector,class,10,22,12,10,12,2,0,10,39,0.79999995,0.0,0.0,10,0,5,0,5,0,10,3,0,0,2,0,0,1,1,0,1,0,0,36,1,0,1,0,0,2,0,5,0,3,1,0,0,0,75,1025,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\common\dataobjects\Dataframe.java,com.datumbox.framework.core.common.dataobjects.Dataframe$Anonymous2,anonymous,0,0,0,0,3,1,0,4,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,12,2,0,0,0,0,1,0,1,0,1,0,0,0,0,15,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\test\java\com\datumbox\framework\core\statistics\parametrics\onesample\StudentsOneSampleTest.java,com.datumbox.framework.core.statistics.parametrics.onesample.StudentsOneSampleTest,class,3,3,0,3,2,2,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0,0,2,8,14,0,14,0,0,0,0,29,1,2
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\common\dataobjects\Dataframe.java,com.datumbox.framework.core.common.dataobjects.Dataframe$Anonymous1,anonymous,1,1,0,1,3,1,0,4,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,12,2,0,0,0,0,1,0,1,0,1,0,0,0,0,14,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\test\java\com\datumbox\framework\core\statistics\parametrics\onesample\LjungBoxTest.java,com.datumbox.framework.core.statistics.parametrics.onesample.LjungBoxTest,class,4,4,0,4,1,2,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,1,6,5,0,5,0,0,0,0,24,1,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\common\dataobjects\Dataframe.java,com.datumbox.framework.core.common.dataobjects.Dataframe$Anonymous3,anonymous,1,1,0,1,3,1,0,4,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,12,2,0,0,0,0,1,0,1,0,1,0,0,0,0,15,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\common\interfaces\Trainable.java,com.datumbox.framework.core.machinelearning.common.interfaces.Trainable,interface,4,6,2,4,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\classification\MaximumEntropy.java,com.datumbox.framework.core.machinelearning.classification.MaximumEntropy,class,19,21,2,19,32,8,0,60,24,0.6666667,0.0,0.0,9,0,3,2,4,0,7,0,0,0,2,0,0,1,1,0,1,0,23,191,3,9,9,0,0,5,15,57,8,61,6,0,2,8,137,1,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\test\java\com\datumbox\framework\core\mathematics\discrete\CombinatoricsTest.java,com.datumbox.framework.core.mathematics.discrete.CombinatoricsTest,class,3,3,0,3,2,2,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,23,0,0,0,0,0,33,1,4,0,4,0,0,0,0,17,1,2
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\classification\OrdinalRegression.java,com.datumbox.framework.core.machinelearning.classification.OrdinalRegression$ModelParameters,innerclass,3,3,0,3,5,4,0,0,6,0.73333335,0.0,0.0,5,0,2,0,3,0,5,0,0,0,3,1,0,3,0,0,1,0,0,20,2,0,0,0,0,0,1,4,0,3,0,0,0,0,33,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\test\java\com\datumbox\framework\core\common\text\extractors\NgramsExtractorTest.java,com.datumbox.framework.core.common.text.extractors.NgramsExtractorTest,class,4,4,0,4,1,2,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,187,186,5,0,5,0,0,0,0,58,1,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\statistics\nonparametrics\onesample\Lilliefors.java,com.datumbox.framework.core.statistics.nonparametrics.onesample.Lilliefors,class,10,13,3,10,17,1,0,23,6,0.75,0.0,0.0,4,4,3,1,0,0,4,0,0,0,1,1,0,1,0,0,1,0,12,182,4,2,1,1,1,6,307,33,6,24,3,0,0,1,99,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\test\java\com\datumbox\framework\core\common\utilities\PHPMethodsTest.java,com.datumbox.framework.core.common.utilities.PHPMethodsTest,class,3,3,0,3,16,2,0,22,120,0.0,0.0,0.0,16,0,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,18,130,0,0,0,0,0,41,50,57,0,57,0,0,0,0,65,1,16
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\clustering\HierarchicalAgglomerative.java,com.datumbox.framework.core.machinelearning.clustering.HierarchicalAgglomerative,class,24,26,2,24,43,9,0,62,43,0.72727275,0.0,0.0,11,0,3,4,4,0,7,0,0,0,2,0,0,1,1,0,1,0,28,306,6,9,10,0,2,5,2,76,5,65,5,0,3,3,123,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\test\java\com\datumbox\framework\core\statistics\descriptivestatistics\RanksTest.java,com.datumbox.framework.core.statistics.descriptivestatistics.RanksTest,class,5,5,0,5,1,2,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,1,12,4,0,4,0,0,0,0,26,1,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\classification\BernoulliNaiveBayes.java,com.datumbox.framework.core.machinelearning.classification.BernoulliNaiveBayes,class,17,18,1,17,20,11,0,45,10,0.0,0.0,0.0,5,0,1,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,16,129,3,9,3,0,2,0,12,40,13,43,3,0,2,3,87,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\common\interfaces\StepwiseCompatible.java,com.datumbox.framework.core.machinelearning.common.interfaces.StepwiseCompatible,interface,0,2,2,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\common\interfaces\Parameterizable.java,com.datumbox.framework.core.common.interfaces.Parameterizable,interface,0,5,5,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\featureselection\TFIDF.java,com.datumbox.framework.core.machinelearning.featureselection.TFIDF,class,17,19,2,17,23,9,0,39,15,0.0,0.0,0.0,6,0,1,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,6,98,3,4,3,0,0,3,8,21,3,25,7,0,2,3,81,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\test\java\com\datumbox\framework\core\machinelearning\regression\MatrixLinearRegressionTest.java,com.datumbox.framework.core.machinelearning.regression.MatrixLinearRegressionTest,class,21,21,0,21,3,2,0,33,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,54,0,1,0,0,0,2,6,22,0,20,1,0,0,0,53,1,2
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-applications\src\main\java\com\datumbox\framework\applications\nlp\TextClassifier.java,com.datumbox.framework.applications.nlp.TextClassifier$ModelParameters,innerclass,2,2,0,2,1,4,0,0,0,1.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,21,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\statistics\nonparametrics\onesample\KolmogorovSmirnovOneSample.java,com.datumbox.framework.core.statistics.nonparametrics.onesample.KolmogorovSmirnovOneSample,class,9,11,2,9,17,1,0,20,6,0.75,0.0,0.0,4,4,2,1,1,0,4,0,0,0,1,1,0,1,0,0,1,0,15,288,4,2,1,1,3,3,632,35,15,27,3,0,0,1,105,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\statistics\nonparametrics\relatedsamples\McNemar.java,com.datumbox.framework.core.statistics.nonparametrics.relatedsamples.McNemar,class,2,4,2,2,6,1,0,5,3,0.0,0.0,0.0,3,3,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,22,3,0,0,0,2,0,6,7,7,5,1,0,0,0,39,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\ensemblelearning\BayesianEnsembleMethod.java,com.datumbox.framework.core.machinelearning.ensemblelearning.BayesianEnsembleMethod,class,8,9,1,8,4,11,0,3,6,0.0,0.0,0.0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,2,0,38,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-lib\src\main\java\com\datumbox\framework\lib\Datumbox.java,com.datumbox.framework.lib.Datumbox,class,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-common\src\main\java\com\datumbox\framework\common\dataobjects\AbstractDataStructureCollection.java,com.datumbox.framework.common.dataobjects.AbstractDataStructureCollection$Anonymous1,anonymous,1,1,0,1,3,1,0,5,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,7,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\modelselection\metrics\ClusteringMetrics.java,com.datumbox.framework.core.machinelearning.modelselection.metrics.ClusteringMetrics,class,4,9,5,4,19,2,0,20,0,0.4666667,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,1,0,3,0,0,1,0,10,91,3,9,1,0,8,3,16,34,16,23,4,0,0,0,78,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\common\interfaces\Parallelizable.java,com.datumbox.framework.core.machinelearning.common.interfaces.Parallelizable,interface,0,6,6,0,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-common\src\main\java\com\datumbox\framework\common\dataobjects\AbstractDataStructureCollection.java,com.datumbox.framework.common.dataobjects.AbstractDataStructureCollection,class,3,28,25,3,7,2,0,5,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,35,5,0,0,0,0,0,0,0,0,0,0,1,0,0,73,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\mathematics\linearprogramming\DataEnvelopmentAnalysis.java,com.datumbox.framework.core.mathematics.linearprogramming.DataEnvelopmentAnalysis$DeaRecord,innerclass,4,4,0,4,7,1,0,5,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,2,36,2,3,0,0,0,0,4,13,0,6,1,0,0,0,51,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\classification\BernoulliNaiveBayes.java,com.datumbox.framework.core.machinelearning.classification.BernoulliNaiveBayes$TrainingParameters,innerclass,1,1,0,1,0,3,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,9,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\clustering\MultinomialDPMM.java,com.datumbox.framework.core.machinelearning.clustering.MultinomialDPMM$TrainingParameters,innerclass,1,1,0,1,2,3,0,0,0,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,1,0,0,10,1,0,0,0,0,0,2,3,0,2,0,0,0,0,19,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\classification\SoftMaxRegression.java,com.datumbox.framework.core.machinelearning.classification.SoftMaxRegression,class,22,24,2,22,32,8,0,57,37,0.6818182,0.0,0.0,11,0,3,4,4,0,7,0,0,0,2,0,0,1,1,0,1,0,20,206,6,9,1,0,0,3,16,58,8,49,4,0,2,3,119,1,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\classification\SupportVectorMachine.java,com.datumbox.framework.core.machinelearning.classification.SupportVectorMachine$TrainingParameters,innerclass,4,4,0,4,3,2,0,0,0,0.5,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,1,0,0,28,1,0,0,0,0,0,14,18,0,2,0,0,0,0,35,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\datumbox-framework\datumbox-framework-core\src\main\java\com\datumbox\framework\core\machinelearning\ensemblelearning\BayesianEnsembleMethod.java,com.datumbox.framework.core.machinelearning.ensemblelearning.BayesianEnsembleMethod$TrainingParameters,innerclass,1,1,0,1,0,3,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,9,9,0
