file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\data\xml\XMLValueRenderer2.java,org.knime.core.data.xml.XMLValueRenderer2,class,3,4,1,3,3,3,0,3,1,0.5,0.0,0.0,2,0,0,0,1,1,2,0,0,0,1,1,0,1,0,0,1,0,0,25,1,0,0,0,2,1,1,3,0,2,1,0,1,0,39,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\data\blob\BinaryObjectFileStoreDataCell.java,org.knime.core.data.blob.BinaryObjectFileStoreDataCell,class,10,14,4,10,13,3,0,14,25,0.5,0.0,0.0,10,1,5,0,2,3,10,0,1,0,1,0,0,1,0,0,1,0,4,61,10,0,1,2,2,3,2,5,3,4,1,0,1,0,87,17,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.testing\src\org\knime\testing\core\AbstractDatabaseJanitor.java,org.knime.testing.core.AbstractDatabaseJanitor,class,6,7,1,6,17,2,0,44,38,0.74999994,0.0,0.0,12,0,4,0,8,0,12,1,1,0,10,1,0,9,1,0,8,0,2,110,6,1,0,5,0,34,1,33,16,31,5,0,0,0,137,1025,3
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\data\container\CopyOnAccessTask.java,org.knime.core.data.container.CopyOnAccessTask,class,11,16,5,11,28,1,0,34,10,0.75,0.0,0.0,8,1,0,1,0,7,7,0,0,0,8,2,0,8,0,0,7,0,6,144,5,1,5,5,3,15,1,42,7,33,3,1,0,0,189,16,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\util\ColumnSelectionSearchableListPanel.java,org.knime.core.node.util.ColumnSelectionSearchableListPanel$ConfigurationRequestListener,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core.tests\src\org\knime\core\data\join\JoinTest.java,org.knime.core.data.join.JoinTest$JoinMode,enum,0,0,0,0,2,1,0,0,0,0.375,NaN,NaN,2,0,1,1,0,0,1,0,0,0,4,0,3,1,0,0,4,0,0,14,1,0,0,0,0,8,0,4,0,4,0,0,0,0,40,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\ExtensionTableRegistry.java,org.knime.core.node.ExtensionTableRegistry,class,8,10,2,8,10,1,0,36,1,0.71428573,0.0,0.0,7,3,4,3,0,0,4,0,0,0,4,3,0,4,0,0,3,0,7,46,7,0,1,2,0,9,0,10,1,15,1,0,0,6,102,17,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\workflow\capture\BuildWorkflowsUtil.java,org.knime.core.node.workflow.capture.BuildWorkflowsUtil,class,7,9,2,7,25,1,0,33,21,0.85714287,0.0,0.0,7,6,4,3,0,0,4,0,0,0,3,3,0,3,0,0,3,0,11,89,9,2,2,1,6,14,18,20,18,17,2,0,0,1,165,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\data\sort\KWayMergeIterator.java,org.knime.core.data.sort.KWayMergeIterator,class,4,7,3,4,18,2,0,10,0,0.5,0.0,0.0,6,0,3,2,0,1,4,0,0,0,4,0,0,4,0,0,4,0,2,74,3,3,5,0,3,2,15,30,2,18,2,0,0,0,122,16,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\util\ButtonGroupEnumInterface.java,org.knime.core.node.util.ButtonGroupEnumInterface,interface,0,0,0,0,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\quickform\out\QuickFormOutputNode.java,org.knime.core.quickform.out.QuickFormOutputNode,interface,4,6,2,4,1,1,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,1,0,1,0,0,54,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core.tests\src\org\knime\core\node\workflow\AbstractArrayVariableTypeTest.java,org.knime.core.node.workflow.AbstractArrayVariableTypeTest,class,10,16,6,10,38,2,0,75,149,0.8888889,0.0,0.0,18,0,9,8,1,0,10,0,5,0,2,0,0,2,0,0,2,0,54,212,2,0,0,0,0,7,33,54,0,48,1,0,0,2,126,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\port\PortObjectZipOutputStream.java,org.knime.core.node.port.PortObjectZipOutputStream,class,0,14,14,0,1,5,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.slf4j.binding.tests\src\org\knime\slf4j\binding\TestLevel.java,org.knime.slf4j.binding.TestLevel$MessageArrayArgMethod,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\workflow\FlowSubnodeScopeContext.java,org.knime.core.node.workflow.FlowSubnodeScopeContext,class,6,9,3,6,10,2,0,11,9,0.5,0.0,0.0,6,0,3,0,0,3,6,0,0,0,1,0,0,1,0,0,1,0,0,37,9,0,3,0,0,2,0,4,0,4,1,0,0,0,64,16,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.testing\src\org\knime\testing\streaming\testexecutor\noopexecutor\NoopExecutionJobManagerFactory.java,org.knime.testing.streaming.testexecutor.noopexecutor.NoopExecutionJobManagerFactory,class,4,6,2,4,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,20,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\NodeViewExport.java,org.knime.core.node.NodeViewExport$ExportType,interface,0,0,0,0,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core.tests\src\org\knime\core\data\v2\value\cell\DictEncodedDataCellInOutDelegateTest.java,org.knime.core.data.v2.value.cell.DictEncodedDataCellInOutDelegateTest,class,12,13,1,12,5,2,0,12,10,0.0,0.0,0.0,5,1,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,80,0,0,0,6,0,8,3,31,0,31,2,0,1,0,60,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\FlowVariableModelButton.java,org.knime.core.node.FlowVariableModelButton$FlowVarEditDialog,innerclass,5,5,0,5,15,6,0,35,0,0.33333334,0.0,0.0,4,0,0,1,0,3,3,0,0,0,6,0,0,6,0,0,0,0,4,153,1,1,6,0,2,9,11,18,0,18,2,1,0,4,72,18,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core.workflow.tests\src\org\knime\core\node\workflow\EnhAP18826_WorkflowCopyContentToDef.java,org.knime.core.node.workflow.EnhAP18826_WorkflowCopyContentToDef,class,13,13,0,13,6,2,0,37,0,0.33333334,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,49,0,0,0,0,0,3,15,22,0,22,0,0,0,0,99,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\defaultnodesettings\DialogComponentColumnFilter2.java,org.knime.core.node.defaultnodesettings.DialogComponentColumnFilter2$Anonymous1,anonymous,1,1,0,1,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\defaultnodesettings\DialogComponentColumnFilter2.java,org.knime.core.node.defaultnodesettings.DialogComponentColumnFilter2$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\util\filter\nominal\NominalValueFilterConfiguration.java,org.knime.core.node.util.filter.nominal.NominalValueFilterConfiguration$NominalValueFilterResult,innerclass,1,1,0,1,4,2,0,4,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,18,1,0,0,0,0,0,0,3,0,1,0,0,0,0,42,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\workflow\virtual\subnode\VirtualSubNodeOutputNodeDialogPane.java,org.knime.core.node.workflow.virtual.subnode.VirtualSubNodeOutputNodeDialogPane$Anonymous2,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core.pmml\src\eclipse\org\knime\core\pmml\PMMLFormatter.java,org.knime.core.pmml.PMMLFormatter$PMMLXMLCharEscapeMap,innerclass,2,2,0,2,14,2,0,5,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,18,5,0,3,0,7,4,9,0,2,0,1,0,0,0,42,9,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\workflow\virtual\subnode\VirtualSubNodeOutputNodeDialogPane.java,org.knime.core.node.workflow.virtual.subnode.VirtualSubNodeOutputNodeDialogPane$Anonymous1,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\streamable\simple\SimpleStreamableOperatorInternals.java,org.knime.core.node.streamable.simple.SimpleStreamableOperatorInternals,class,3,3,0,3,4,2,0,4,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,15,1,0,0,0,0,0,0,1,0,1,0,0,0,0,63,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\data\image\ImageContent.java,org.knime.core.data.image.ImageContent,interface,1,5,4,1,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\extension\NodeSpecCollectionProvider.java,org.knime.core.node.extension.NodeSpecCollectionProvider$Progress$Stage,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\port\inactive\InactiveBranchPortObject.java,org.knime.core.node.port.inactive.InactiveBranchPortObject$Serializer,innerclass,6,6,0,6,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,25,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core.tests\src\org\knime\core\data\meta\DataColumnMetaDataRegistryTest.java,org.knime.core.data.meta.DataColumnMetaDataRegistryTest,class,7,7,0,7,4,1,0,15,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,3,1,3,0,4,0,0,0,1,52,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\data\convert\java\DataCellToFloatConverter.java,org.knime.core.data.convert.java.DataCellToFloatConverter,interface,3,8,5,3,2,1,0,1,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\defaultnodesettings\SettingsModelPassword.java,org.knime.core.node.defaultnodesettings.SettingsModelPassword,class,6,8,2,6,12,3,0,7,0,0.125,0.0,0.0,8,0,1,0,7,0,8,0,0,0,1,0,0,1,0,0,1,0,0,40,2,0,1,2,0,2,0,1,0,1,1,0,0,0,70,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\port\viewproperty\ColorHandlerPortObject.java,org.knime.core.node.port.viewproperty.ColorHandlerPortObject$Serializer,innerclass,2,2,0,2,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\workflow\UIInformation.java,org.knime.core.node.workflow.UIInformation,interface,3,6,3,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\data\FuzzyNumberValue.java,org.knime.core.data.FuzzyNumberValue,interface,4,11,7,4,3,3,0,0,3,1.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,1,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,1,0,1,0,0,1,0,36,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\workflow\FlowCaptureContext.java,org.knime.core.node.workflow.FlowCaptureContext,class,1,3,2,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\data\vector\bytevector\DenseByteVectorCell.java,org.knime.core.data.vector.bytevector.DenseByteVectorCell$Factory,innerclass,8,8,0,8,9,1,0,4,3,0.0,0.0,0.0,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,28,4,1,0,0,3,3,9,9,9,5,2,0,0,0,45,25,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\util\ThreadPool.java,org.knime.core.util.ThreadPool$Worker,innerclass,3,3,0,3,14,2,0,15,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,5,0,0,5,0,0,2,0,0,67,4,1,2,2,1,6,3,7,4,6,5,0,0,0,71,10,4
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src-deprecated\org\knime\core\node\port\database\aggregation\function\CountDBAggregationFunction.java,org.knime.core.node.port.database.aggregation.function.CountDBAggregationFunction,class,3,4,1,3,1,3,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,15,0,0,0,0,0,2,0,1,0,1,0,0,1,0,17,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\wizard\DefaultViewResponseMonitor.java,org.knime.core.node.wizard.DefaultViewResponseMonitor,class,6,8,2,6,28,1,0,22,78,0.8412698,0.0,0.0,21,0,15,1,0,5,20,0,0,0,12,0,0,12,0,0,4,0,6,122,12,0,6,0,0,0,1,17,0,19,2,0,0,3,97,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\message\SimpleTabular.java,org.knime.core.node.message.SimpleTabular,class,2,4,2,2,15,1,0,29,4,0.5625,0.0,0.0,4,1,1,1,0,2,3,0,0,0,8,2,0,8,0,0,8,0,13,74,3,7,2,0,0,7,24,33,7,29,2,0,0,1,76,16,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\data\container\storage\AbstractTableStoreWriter.java,org.knime.core.data.container.storage.AbstractTableStoreWriter,class,16,24,8,16,29,1,1,32,54,0.8333333,0.0,0.0,12,0,9,0,3,0,12,2,4,1,5,0,0,5,0,0,2,0,5,112,7,3,7,0,2,3,2,32,4,27,3,0,0,0,181,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\data\container\DefaultTableStoreWriter.java,org.knime.core.data.container.DefaultTableStoreWriter,class,12,16,4,12,9,2,0,15,3,0.5,0.0,0.0,6,0,4,1,0,1,5,0,0,0,2,0,0,2,0,0,2,0,0,36,1,1,0,0,1,1,1,6,0,6,1,0,0,0,127,16,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src-deprecated\org\knime\core\node\port\database\aggregation\function\booleanoption\BooleanFuntionSettings.java,org.knime.core.node.port.database.aggregation.function.booleanoption.BooleanFuntionSettings,class,4,7,3,4,16,1,0,8,0,0.5,0.0,0.0,9,0,8,0,0,1,9,0,0,0,2,1,0,2,0,0,2,0,0,52,10,0,6,0,2,1,3,6,2,5,2,0,0,0,65,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\workflow\LoopStatusChangeListener.java,org.knime.core.node.workflow.LoopStatusChangeListener,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\data\meta\DataColumnMetaDataSerializer.java,org.knime.core.data.meta.DataColumnMetaDataSerializer,interface,4,14,10,4,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\data\v2\ValueFactoryUtils.java,org.knime.core.data.v2.ValueFactoryUtils$SingletonFactoryProvider,innerclass,3,3,0,3,8,1,0,6,10,0.625,0.0,0.0,8,1,0,2,0,6,6,0,0,0,3,0,0,3,0,0,3,0,0,53,7,0,0,0,0,0,0,3,0,3,0,0,1,0,18,26,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\workflow\NodeTimer.java,org.knime.core.node.workflow.NodeTimer,class,4,8,4,4,14,1,0,3,24,0.8125,0.0,0.0,12,0,9,2,0,1,10,0,0,0,12,4,3,9,0,0,5,0,2,689,7,0,0,0,0,3,12,21,1,13,1,0,1,0,103,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\util\filter\NameFilterTableModel.java,org.knime.core.node.util.filter.NameFilterTableModel,class,2,7,5,2,17,2,0,19,0,0.26666668,0.0,0.0,15,0,12,0,0,3,15,0,0,0,1,0,0,1,0,0,0,0,0,65,13,0,0,0,0,2,6,6,3,6,1,0,0,0,104,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src-deprecated\org\knime\core\node\port\database\DatabasePortObject.java,org.knime.core.node.port.database.DatabasePortObject$Anonymous3$Anonymous4,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\data\def\StringCell.java,org.knime.core.data.def.StringCell$StringSerializer,innerclass,4,4,0,4,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,26,25,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core.tests\src\org\knime\core\node\testfactories\v28\XSD_v28_noInteractiveView.java,org.knime.core.node.testfactories.v28.XSD_v28_noInteractiveView,class,1,2,1,1,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core.workflow.tests\src\org\knime\core\node\workflow\NodeIDTest.java,org.knime.core.node.workflow.NodeIDTest,class,4,4,0,4,5,1,0,12,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,1,0,0,23,1,17,0,11,0,0,0,0,64,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\workflow\ScopeEndNode.java,org.knime.core.node.workflow.ScopeEndNode,interface,7,13,6,7,10,1,0,12,6,0.0,0.0,0.0,4,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3,43,6,1,3,1,0,4,0,11,0,11,2,0,0,0,97,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core.tests\src\org\knime\core\customization\APCustomizationTest.java,org.knime.core.customization.APCustomizationTest,class,4,4,0,4,4,1,0,6,0,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,1,1,0,1,0,0,1,0,0,37,0,0,0,0,0,18,0,9,0,9,0,0,0,0,26,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\data\convert\map\DefaultDataRowProducer.java,org.knime.core.data.convert.map.DefaultDataRowProducer$ShortMapper,innerclass,8,8,0,8,3,2,0,4,1,0.0,NaN,NaN,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,13,2,0,0,0,0,0,0,0,0,0,1,0,0,0,11,18,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src-deprecated\org\knime\core\node\port\database\pivoting\DefaultPivotStatementGenerator.java,org.knime.core.node.port.database.pivoting.DefaultPivotStatementGenerator,class,7,10,3,7,30,1,1,38,36,0.8888889,0.0,0.0,9,1,2,2,5,0,7,0,0,0,1,1,0,1,0,0,1,0,0,145,7,12,2,0,0,35,35,45,28,43,3,0,0,0,122,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.testing\src\org\knime\testing\data\blob\LargeBlobCell.java,org.knime.testing.data.blob.LargeBlobCell,class,7,9,2,7,7,2,0,5,0,0.79999995,0.0,0.0,6,1,5,0,1,0,6,0,1,0,5,3,3,2,0,0,5,0,0,56,5,0,0,0,1,1,3,5,1,5,0,1,0,0,78,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\port\pmml\preproc\PMMLPreprocTranslator.java,org.knime.core.node.port.pmml.preproc.PMMLPreprocTranslator,interface,3,3,0,3,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\util\EclipseUtil.java,org.knime.core.util.EclipseUtil,class,10,12,2,10,38,1,0,52,36,0.8888889,0.0,0.0,9,8,4,5,0,0,5,0,0,0,2,2,0,2,0,0,2,0,6,178,11,8,6,4,2,30,0,31,7,28,4,0,2,0,180,17,4
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\node\tableview\FindPosition.java,org.knime.core.node.tableview.FindPosition$SearchOptions,innerclass,0,0,0,0,7,1,0,4,15,0.7142857,0.0,0.0,7,0,3,0,0,4,7,0,0,0,3,0,0,3,0,0,3,0,0,29,6,0,0,0,0,1,0,3,0,3,0,0,0,0,23,24,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\knime-core\org.knime.core\src\eclipse\org\knime\core\data\MissingCell.java,org.knime.core.data.MissingCell$MissingSerializer,innerclass,4,4,0,4,6,1,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,19,2,0,3,0,1,0,3,3,0,3,1,0,0,0,35,25,0
